Staff Group,Comment,No of Comments
Additional Clinical Services,"Talking no longer feels like a mode of communication, too much email and computer time which is not read or analysed by senior staff.",1
Additional Clinical Services,Talking Therapies really needs to hire more therapists as the waiting lists are far too long and staff are always leaving which puts more pressure on existing staff.  I think the only way to do this would be to look at increasing the pay banding particularly for psychological wellbeing practitioners as we are very underpaid therefore not many people stay in the job role for long.,1
Additional Clinical Services,"Thank for the survey.  It was helpful.  For the question section of stating if a staff would leave or stay in the Organisation, I think there should a follow up question that would ask why the staff is planning of leaving the organisation.",1
Additional Clinical Services,"Thank you for allowing a recent away day with our team.  We had a really good day and it helped me appreciate my colleagues and line managers efforts in providing a thoughtful, low cost activity that we could all take part in and enjoy time together away from the work environment.",1
Additional Clinical Services,Thank you.,1
Additional Clinical Services,"The current incident reporting system Radar in my opinion is not fit for purpose for community services and is related to impatient care so we are faced with a lot of irrelevant questions and is confusing for community staff to complete it they actually manage to complete form!  This issue has been raised with our managers.  We have recently been asked to complete a work plan which is basically time in motion and we were shown previous results led by therapies in a hospital setting that cannot relate to community services.  I personally felt this only added to stress levels in myself in that I was under performing.  Clearly you would be able to spend more face to face time with patients in a ward setting than in the community.  We were also given the breakdown for banding i.e. band 4 and 5 in a hospital setting would have 95% face to face time as they have no other clinical responsibilities i.e. supervision of other staff.  In reality a band 4 and 5 in the community in our team is not allocated only north, south or central localities but visits all, so this would incur increased travel time.  I felt, and aware other team members felt same, doing a presentation that was completed in a hospital setting was not a true representation for community services and I felt under unfair pressure due to this.  Our work in community is very different, we are not supplying equipment urgent for discharge but working in the home setting which is very different in respect to increased time for the patients we see, waiting for adaptations from housing associations in some instances.  Can take as long as 6 months and as a result these patients remain on our caseloads.",1
Additional Clinical Services,The management has no care for staff welfare and this is very painful.,1
Additional Clinical Services,The morale of the team is so low because of band 8a.  They disregard people's needs and holds grudges.,1
Additional Clinical Services,"The negative feedback I have provided (i.e. last 12 months) applies to when I worked for Rowan View.  I have since moved to a different team within Mersey Care and now feel very happy in my new role with both work/ personal life satisfaction.  Working at Rowan View took a significant toll on my wellbeing due to negative attitudes and consistent disrespect from both managers and and workers on the wards.  Staffing at Rowan View is poor and, due to this, staff were constantly on observations and unable to facilitate therapeutic activities for patients to aid their recovery.  It is a real shame as Rowan View has so much potential.",1
Additional Clinical Services,The only time I feel drained in my job is when I work with another team 3 months a year.  I love the job but travel to work 9 hours driving in 3 days.  But I understand this is part of my job and it is only 3 months out of the year.,1
Additional Clinical Services,"The organisation seems to have a priority of acquiring new services and expanding its foothold on services without due care in how to improve the services they currently have or the effect it has on the staff.  Staff seem bottom of the list on priorities for a number of years with executives unaware of how their decisions affect frontline staff.  Mersey doesn't care is a byword for how staff have to referred to the organisation for many years and known by staff from other trusts.  I have worked for the trust before foundation trust status and left due to the poor communication from managers and executives who also did not take staff concerns seriously, I returned due to limited opportunities in my chosen field without moving out of area.  Whilst I have seen improvements in staff opportunities to advance their careers with apprenticeships, poor senior leadership, poor recruitment, staff shortages and unrealistic expectations are putting staff and service users at risk.",1
Additional Clinical Services,"The organisation should address systemic issues such as racism.  There appears to be a lack of representation within executive roles within the NHS.  Issues such as racism are not addressed in a way which makes staff or service users feel safe within the NHS.  A good example of this is the recent racist riots - how were staff/service users supported and where was the direction from the top to guide individual service responses.  Issues of racism continue to exist following the riots and the NHS should be developing a service where staff and service users feel safe.  It should also look at solutions for people on waiting lists, consider how the pressure put on services to see more people can impact patient care i.e. if there is one rigid model or treatment pathway can this be patient-centred?  There should also be more work done to ensure that recommendations are followed up and followed through with at a service level - research should be utilised to better outcomes for staff and service users.",1
Additional Clinical Services,"The pay is poor for the level of education and experience needed (an undergrad degree, a masters and 3 years clinical experience for a band 4 job).  PCs and printers need to be updated so we can do our jobs to the best of our abilities.  Onboarding into this role took 5 months!",1
Additional Clinical Services,The progression opportunities within the trust Psychology professions without core professions are very limited as is the access to external training.  It would be great if the trust implemented more apprenticeship opportunities to widen access to the psychology professions which are so sought after within teams and there appears to be a consistent shortage.,1
Additional Clinical Services,The service is poorly run and staff concerns are not addressed effectively.  Burn out is normalised and staff expected to just put up with it as they are told that that is how the role is.  Senior management do not care about staff wellbeing and repeatedly make decisions about service changes that put further strain on staff wellbeing without even consulting them.  Changes to the service are being made frequently which confuses staff and mean that there is never any consistency as to what we are meant to do.  Staff are expected to work beyond their remit and their training and beyond the limits of their accreditation.  Staff are told that they should work outside of their remit and essentially not record it on the system so that the service can still maintain accreditation.  Staff morale is very low and burn out is very high and the service is doing nothing about it because they care more about the targets than the staff who are burning themselves out trying to reach them.,1
Additional Clinical Services,"The sick leave policy feels punitive, especially giving people on stage one who may be unwell reduced sick leave for the following year.  This causes a lot of stress and makes it difficult for people to manage their health, forcing people to work even when they are not well enough to do so.  This is particularly problematic for people with long term health conditions/ other disabilities and makes it harder for people with disabilities to remain in work.",1
Additional Clinical Services,"There are very few opportunities for career progression within the role as an assistant psychologist.  Many assistant psychologists are aspiring to get onto clinical training and become clinical psychologists, however, many courses desire research experience, can the trust not arrange research opportunities for assistants within the trust and support them in publishing and disseminating said research?  Additionally, some APs may not wish to pursue a doctorate, can the trust not provide pathways for assistant psychologists to train and become psychotherapists, there are a few paid internships around the country, can the trust not do the same?  Many courses offering CBT training could require assistant psychologists to complete KSAs (Knowledge, skills and Attitudes portfolios), the trust could provide training places or support assistants in getting into training for CBT, DBT etc and then support them to have roles within the trust as trained psychotherapists who have relationships within teams and with the trust.  Furthermore, many assistant posts within the trust are band 4 pay, current bps guidelines would suggest that they should be paid band 5.  Many assistants may wish to stay in the trust if they were paid fairly and/ or had opportunities to undertake supported research projects or were supported by the trust to complete training in psychotherapy or even to develop specialist skills in other areas.",1
Additional Clinical Services,There is a culture of bullying within the organisation amongst the lower grade staff that leads to high absence and turnover of staff.,1
Additional Clinical Services,"There is a difficult member of staff within our department (Occupational Therapy) and when multiple members of staff have raised concerns or complaints about this staff member nothing has been done about it.  I have been personally targeted by this staff member - a member of management has witnessed and knows they are targeting me however they have done nothing about it and allowed it to carry on happening.  Despite knowing my mental health has been significantly impacted by this colleague the manager for our department has called me unprofessional and given me no support.  Went to freedom to speak up over the issue and my manager has not spoke to me since.  This colleague has caused problems within our department for over a year and a half, causing poor mental health in colleagues as well as colleagues leaving and looking for other jobs.",1
Additional Clinical Services,There is currently no way for me to progress through the NHS in this role (Current band [number and Job title removed]).  Opportunities for career progression would be great as would enable me to stay within my service or the NHS and also provide the opportunity to enhance the service I currently provide to patients.,1
Additional Clinical Services,"There seemed to be no one that makes decisions always has to be passed up to someone else, there is never solutions for problems that arise, the safety on the wards e.g. security, inexperienced staff, not knowing what to do on the ward agency or bank, lack of staff on the wards and in other departments e.g. OT.  Not feeling valued as a team or respect for others about our job, job role.",1
Additional Clinical Services,This form took a very long time to complete.,1
Additional Clinical Services,"This is the worst trust I have ever worked for in my [timeframe removed] of service within the NHS.  They have no regard for staff health/well being, they have continually lied to us face to face.  As soon as I can find another job I will leave.",1
Additional Clinical Services,"This organisation views people by their bed status and whether they ""qualify"" to be here rather than how to best support patients.  From what I have witnessed, staff on the wards do their absolute best and are the most compassionate people I know, however it is the constant pressure from the matrons caring more about beds that make patient care inadequate at times.  There have been several discharges that I have witnessed that I believe were unsafe and this not been down to the nurses but the pressure from the higher ups (matrons etc.  ).  My line manager is fantastic and supportive, however the people who are higher than them have no compassion or empathy towards their staff.  Due to my role being a training role, they know that we are completely replaceable and do not care whatsoever about our mental health or wellbeing.  I have even tried raising concerns to the Associate Director of Psychological Professions for that to go nowhere, again proving that the organisation and the higher ups do not care.  I have recently been off work for over [timeframe removed] with work related stress, to come back into work and be told that I am not allowed to say that it is work related, instead I have to have a meeting with HR to decide this.  The organisation then wonders why people are not wanting to stay and leaving instead, I would love to know how a meeting with HR is supposed to be unbiased and supportive when they are the main people who will make sure to cover and protect the organisation.  This meeting with HR also isn't mandatory, I have had to request it and then fill in additional paperwork to try and defend my case that this is work related.  The irony is not lost on me or I imagine others, that if we report to be stressed at work, we're gaslit into being told that it is not and they will add more stress onto us to ensure we don't report it formally.  How the organisation views sickness and the stages is ableist, although there is such thing as a HR27, this does not mean that your sickness due to your chronic condition is acceptable, it is still down to the managers discretion and they can choose to ignore it.  As someone who has worked in the NHS since 2020, I find it ironic how little Mersey Care care about their staff and boast how they're one of the most profitable organisations when there are staffing crises everywhere because of their bad reputation.",1
Additional Clinical Services,"To become a hospital again, and not a YMCA or housing crisis unit.",1
Additional Clinical Services,Toxic culture in management needs serious reform.,1
Additional Clinical Services,"Under paid, undervalued, management trying to dodge giving us back pay for a role which has changed drastically over a long time.",1
Additional Clinical Services,Very good survey.,1
Additional Clinical Services,Very recently under a new team leader and have positive hopes for a better team now.,1
Additional Clinical Services,Very unsettling at moment in work.  Getting moved more frequently.  Feel there are a lot of cliques on ward and favouritism shown regarding moving and shifts with certain staff members.,1
Additional Clinical Services,We as a service are often short staffed and very often have staff taken to cover other wards.  This results in staffing pressures and unrealistic support targets.  Which lead to a knock on effect to our patients and their mental health when they have restrictions ward activities and leave both Section 17 and grounds leave.,1
Additional Clinical Services,We have far to many meetings and mandatory training.,1
Additional Clinical Services,We have not a clue about how to deal with the transgender issue to make it safe for all service users.  The management and organisation gives the strong impression that they don't care who is occupying a bed.,1
Additional Clinical Services,We no longer work in set groups but work flexi-shifts which I find is detrimental to good team work and patient care.,1
Additional Clinical Services,What happened to the word team.  Teams are meant to work together and be proud of what they do.,1
Additional Clinical Services,When I pressed yes for have I seen any near misses in the last month Patients have come in with wrong blood forms from GPs.,1
Additional Clinical Services,"When this asks about managers I do not mean my line manager, my line manager is fantastic, we have been taken over by Mersey Care, since this takeover we have lost most of our staff, we have lots of staff sickness, and the rest of us are looking for other jobs, out of Mersey Care.  Mersey Care are horrendous to work for, they do not care what you are saying how you are feeling, they burn you out.  Far too many managers, it angers me so much, no budget for pay rises especially low paid, however pay these managers who do not even know your job to know how to help, yet they sit day in and day out on teams meetings discussing how to get more work out of you.  Filling out this survey will not do a single thing either!  Maybe you will all go on a teams meeting.",1
Additional Clinical Services,Why is the Trust not giving the opportunity to staff that desire to stay working?  The policy on not sponsoring from Band 3 is mental torture.,1
Additional Clinical Services,Would like to see required staffing levels on wards.  When staffing levels low high acuity on ward dangerous for staff feel other patients not getting time with them.  This needs to be consistent.,1
Additional Clinical Services,"You never get an opinion the ward manager is so rude and disrespectful its always "" if I say jump you ask how high "" awful no respect and always short staffed.",1
Administrative and Clerical,A place of work to hot desk from. Working from home all week can be lonely.  Its sometimes nice to be in a full office grabbing a coffee and seeing a smiling face.,1
Administrative and Clerical,"Admin staff are being forced to work in the office full time.  Admin are told it doesn't work from home without explanation, it is not true and many admin staff can do their entire job remotely clinical staff are treated better and are allowed to work remotely when they can.  Admin staff are being treated unfairly and do not get the respect they deserve.",1
Administrative and Clerical,"Although this is a great organisation to work for, I do feel many staff abuse the good nature and support of Mersey care as it is a 'Mental Health Advocate'.  I feel HR and decision making on staff is too lenient when it comes to sickness, absence and performance.  Other organisations have trial periods for staff to 'prove' they can do what they confirmed at interview.  Here, as long as you pass the interview, even if poor at your job, you have a job for life.  I work with staff who are on decent pay but play the fool or blame mental health on their performance which is accepted.  They are allowed to continue on low input when others have to work harder to accommodate them and I feel management have their hands tied as HR and Occupational Health support the individual more instead of appreciating the impact on the department/service that the staff member works for.  The organisation and NHS is struggling to provide a great service for patients as we are too busy dealing with problematic staff.  Absence and sickness is too lenient, staff are staged but don't seem to care as staging leads to nothing.  In other organisations the processes in place made you think twice about how bad your record would look having too much sickness and absence and equally you felt bad letting your colleagues down.  Mersey care allow poor attendees and performers to move freely from one department to another with no responsibility.  I feel we are very lucky with the privileges we have working for this organisation as I have worked for some terrible and strict employers and it angers me that with the state the NHS is in, that we have staff who think the organisation owes them a better life and spend more time not working than working and complain.  They have either never worked for another organisation, or forgotten how lucky we are.",1
Administrative and Clerical,Another tick box exercise.,1
Administrative and Clerical,"As a manager I struggle to manage my team with the policies that are in place, I feel that these policies allow my team to abuse them especially the sickness policies - the number of people within my team who make a miraculous recovery at the 6 month period is amazing - coincidentally this is the point that sick pay drops to half pay.",1
Administrative and Clerical,As an admin assistant I feel totally indispensable at the moment.  Events have occurred which although they are being looked into I feel this always comes down to cost rather than staff safety.  Far too many managers who seem to give conflicting replies to queries and admin not being replaced making work much more stressful.  Expected to cover a wide variety of duties in different venues so trying to split myself in too many different directions.  I am totally disenchanted with my role at the moment and can't see this improving any time soon.,1
Administrative and Clerical,"As the NHS continues to transform digitally to inform our health outcomes for our patients and clinical services.  It is disappointing to see the staff survey does not reflect this in its data collection.  No real acknowledgement or data capture of long term health conditions and neurodiversity.  This will impact upon perceptions, use and engagement with the process.",1
Administrative and Clerical,"Band 2 staff that are not just doing (what is described in their role for Band 2), so doing extra in their roles and responsibility's should be on a Band 3.  Getting information from hospitals, having to collect sickle cell results and booking sickle blood tests etc should surely be on a Band 3 as this is more intense but vital for the team and especially the patient.",1
Administrative and Clerical,"Banding needs to be sorted out for Band 2, they've taken the pay scale from Band 2's to give to the Band 8's.  There is no progression route where I am and even just for admin staff in general.",1
Administrative and Clerical,Brilliant trust to work for.,1
Administrative and Clerical,Bullying culture in patient safety team is still prevalent and needs to be addressed.,1
Administrative and Clerical,Can I point out that my team sits within a wider team.  My smaller team recognises my worth whereas I feel the wider team does not fully appreciate my role.,1
Administrative and Clerical,"Communication could be improved, to ensure that strategic information is shared to allow dissemination across the wider team.  Information is often not shared in a timely manner i.e. when information requests have been emailed to some, and then not shared with the team/acted upon, which can then mean work / for example data requests.  FOI's have to be actioned in a unrealistic timeframes - creates pressure in the team.  Decision making can be slow which causes added work with chasing for responses and frustration within the team.  The team are often asked for.  Uncivil, unkind behaviours of [some] senior leaders in the organisation, are not challenged and are accepted causing upset, stress unnecessary work pressures to others.  Team is often subjected to confrontational and often aggressive behaviours by some staff side colleagues, which has seen little improvement despite escalation.  Some meetings with management could be more structured, action focused so they feel like an effective use of time and if meetings are not going ahead due to non attendance that this is shared in advance - again improved communication.",1
Administrative and Clerical,"Currently I am clear on what my responsibilities are, although this can change sometimes.  I feel because my role is split, Senior Admin Support and Admin Team Leader, I cannot dedicate my time fully to both.  When applying and accepting my role, it was advertised as ""Senior Administrator"", and this is what is on my Employment Contract.  I do not feel it was clear that my role would be split.  My Job Description states no mention of managing staff within different teams or different localities.  I currently manage six staff across Liverpool and Sefton Place.",1
Administrative and Clerical,Decision makers need to listen to clinicians rather than just say ridiculous comments like patients can book their own appointments online as their [family member removed] can do it and they are [age removed]!,1
Administrative and Clerical,Desktop support team is neglected by management nothing is ever done to support us or when we raise concerns they seem incapable or don't care to other support or assistance.,1
Administrative and Clerical,"Difficult survey to complete due to situation of admin staff being under an admin management hub and no longer under the management of the team they work for - this is causing frustration, resentment, stress, and feelings of being under valued.  Removal of admin staff from their clinical colleagues in services where they work together closely is causing admin staff to feel demotivated, disengaged and separated from their clinical counterparts and the collective ethos of the service.  It is also disorganised, inefficient, impractical and frustrating way to work.  Decisions and opinions are made externally without the input of the staff from the service either clinical or admin which has bearing on the operational running of the department but without any knowledge - leaving staff to pick up the pieces and seek out work around solutions which is time wasting and exhausting.  Admin staff have also now been denied the opportunities of flexible working and told must be office based 5 days a week regardless of job role - when seeking clarity over this have been told that it does not work and it is 'the directive from above' - which has caused feeling of resentment, undermining and under-valued.",1
Administrative and Clerical,Divide between Trust Wide Support Services and Clinical Divisions seem to be getting bigger.,1
Administrative and Clerical,"Divisional staff are very supportive.  Staff from Trust Wide Support Services do not offer any support, they just ask for information constantly, expecting the divisions to drop everything to deal with any requests from themselves.  It does not feel like Trust Wide Support Services appreciate the work that is completed by the divisions.  Often when Trust Wide Support Services are liaising with staff they often speak to them in a derogatory manner, if they speak to divisional staff in this way, how do they speak to their own teams..  Teams within Trust Wide Services are also working from home the majority of the time and have no idea what it is like in the divisional services, this isn't a good look when dealing with staff who are in full time.",1
Administrative and Clerical,"Due to the impact of working from home and people being reluctant to work from an office base, I feel like working relationships have suffered and that work is not always coordinated in a way to deliver a quality standard.  I also feel the focus can be based on just getting things done instead of ensuring things are done properly to give employees/new starters constructive feedback.",1
Administrative and Clerical,"Far too much micromanagement within our organisation.  Too many non-patient facing managers view the world through data on a screen rather than viewing feelings, emotions and people as exactly what they are - people.  With families, responsibilities and life issues.  Help, don't hinder them or you will lose very good staff.  In fact you are losing very good staff.",1
Administrative and Clerical,"Feel that service mergers/changes for example for services now covering wider catchment area there is reduced quality of service/more pressure on clinical staff/room for error e.g.  For cases whereby they have not seen the same member of staff more than once for follow-up reviews especially in urgent care community setting.  Overall, feel that there is uncertainty regarding roles/service changes which impacts on staff morale and wellbeing and has meant that staff have moved roles due to this causing more pressure on staff left within teams.",1
Administrative and Clerical,"Feel very disheartened, demotivated, with little hope or faith that things will ever improve based on own personal experiences.",1
Administrative and Clerical,Feel very valued by my manager and feel part of wider team.  Don't believe I am valued I by the trust as a whole.,1
Administrative and Clerical,Flexible working is not available within our team unless that means wanting to reduce working days or hours.  Working from home is not an option unless you have an appointment it is not built into our working lives to help us have a better work life balance as mentioned in the flexible and hybrid working policy.,1
Administrative and Clerical,Flexible working needs to be improved if you care for somebody who has cancer.  Trust also needs to look after staff when returning from long term sick.,1
Administrative and Clerical,"Flexible working when you have caring duties still seems frown upon and at times you can be made to feel uncomfortable.  I know the Trust has worked hard at implementing this, however there still appears to be taboo around this.",1
Administrative and Clerical,"Following on from the large scale organisational change in 2022/2023 this past year 23/24 has been about consolidation, relationships have stabilised and grown, staff have had more respect for each other in their different roles and supported to do their jobs.  Flexible working is supported in the organisation.",1
Administrative and Clerical,"For a mental health trust, Mersey Care does not seem to focus enough on the mental health of it's employees or educating staff the understanding of mental health conditions.  I have regularly been made to feel like a burden.  In my team/department, there is also not enough handover/support/training for new starters.",1
Administrative and Clerical,"Frustration exists because of the poor Management at certain levels and failure of a consistent approach in accordance with the Trusts Policies and Procedures by all Mangers.  Staff are treated differently dependent on who there Manager is.  This is to the point were some staff get away with using the Absence Reporting line some can work from home others cant.  Some can go off sick and work from home others have to go off sick even though they have offered to work at home due to cold, COVID etc. where they can contribute work from home and not leave team depleted.  Inconsistent approach breeding discontentment.  HR need to under take more Audits and have more of a presence holding workshops etc. so that Managers are aware that staff can speak out.",1
Administrative and Clerical,"Good people, poor leadership.  Better organisation would take away some of the stress.",1
Administrative and Clerical,Great organisation to work for.,1
Administrative and Clerical,Happy to come to work everyday.  We have a lovely Team and all get on well and support each other.,1
Administrative and Clerical,Happy with my job and management.,1
Administrative and Clerical,Having the opportunity to work from home especially for roles who are are not clinical and responsible for own workload.  More opportunities for admin staff in terms of training (even if not directly linked to role) and progression.  More of a dedicated and valued approach towards admin staff.,1
Administrative and Clerical,"Health and wellbeing of colleagues seems not to be a priority for the trust.  The trust wants to be seen as forward thinking, and a leader in various topics, but the support from the most senior managers in the trust doesn't support that.  The biggest working demographic in our trust is people of menopause age, yet there isn't the support for colleagues experiencing menopause to be well in work.  'Service need' is why reasonable adjustments aren't made, but what this ultimately leads to is people going off sick because of menopause, which has a detrimental effect on the service and trust as a whole.  The trust wants to become a menopause friendly workplace, but it is far from that at the moment.  There should be mandatory training on menopause for line managers, which is promoted by senior leads within the trust.  There are a few teams within the trust who seem to be menopause friendly, but with a trust of +12K colleagues, a few teams is not enough.  There doesn't seem to be the willingness to support colleagues as a general rule, which is leading to not only more sickness absence within the trust, but people are leaving the trust as they are not supported.",1
Administrative and Clerical,How am I supposed to trust and believe in my organisation when my line managers' actions resulted in a serious suicide attempt by my daughter?  They did not think through the consequences or apologise.,1
Administrative and Clerical,"How come this survey is supposed to be anonymous, yet I continually receive notifications to complete the survey?  It's a joke, the same as the Organisation as a whole.  Lowly Clerks are the lowest of the low.  I would never suggest anyone work for this organisation and I cannot wait to leave.",1
Administrative and Clerical,"HR backing staff that shouldn't be here makes me feel less motivated in my role.  Clear breaches of conduct but ignored due to ""Just and Learning Culture"".",1
Administrative and Clerical,HR policies are not always followed in a timely manner leading to stress and confusion.,1
Administrative and Clerical,Huge concern that the stability and innovation of the last decade under outgoing CEO must be protected and developed.  We need the future management structure to be as broad in experience and as proactive.,1
Administrative and Clerical,"Hybrid working is only allowed for senior managers, which is grossly prejudicing other staff especially admin staff when their role allows them to work hybrid.",1
Administrative and Clerical,"I am [age removed] old, soon will be looking to go part time or step down to a less demanding roles.  My role has changed since I first joined this team, a good deal of the work I enjoyed most has shifted to another team.  I don't enjoy the role as much as I used to because of this.  I'm actively looking for something to hold my interest a little more.  Unfortunately not easy to change direction at my age, no doubt I will find something I usually do.  It is a good organisation to work for, I just need to find something a little more interesting to finish up my working days before I retire - I've been through a lot over the past [timeframe removed], especially around my [family member removed] getting [condition removed] - it has been hard and the ability to work from home and with more fixability has be of great benefit, especially when they needed looking after and being immobile after  an operation - please keep allowing a more flexible work environment for employees available as it can be a life saver.",1
Administrative and Clerical,"I am becoming more frustrated with my role.  I am consistently asked to cover work colleagues who are not working core hours and take lots of time off, over and above normal limits.  This is all very secretive and as a team we cannot get to the bottom of this.  We have asked to meet with managers but this request has been ignored.  There is no support from managers and no chance to progress or move.  This is something as a group, that we are going to try and resolve.  When I joined Mersey Care it was a wonderful place to work, but year on year my view changing and Mersey Care is not a great place to work.  The Trust are losing good members of staff due to various issues which never seem to be resolved, but occur time and again.",1
Administrative and Clerical,"I am disappointed with The Life Rooms and I have raised my concerns about staff turnover and long term work related sick leave.  I am a confident person; however, many other people won't challenge SLT on their actions.  Colleagues have shared with their reasons for sick leave and the reasons why they have resigned, and it is most often because they feel undervalued, and sometime bullied by senior managers.  Many of us feel we have been sold a false narrative about what our place within the wider community is.  There have been several incidents recently that could have been avoided or reduced risk if the senior members of the team had more experience working with community members with complex support needs.  One incident had a regular service user committing public indecency and sexual assault towards two staff members.  One staff member is off long term due to the trauma and the other has resigned partly because of this incident, and I suspect because of the inadequate treatment received afterwards.  The perpetrator had been reported on multiple occasions to management because of clear drug use in attendance, and this had been totally overlooked.  There are many other incidents that have been played down internally, however after recent health and safety review many staff now feel heard externally, and that the false narrative projected is opening the eyes of the rest of Mersey Care into the inner politics and divisions between teams.  We are told from day one that we don't manage risk and that it's as safe as working in a cafe at The Life Rooms.  This is something I have questioned and challenged since I began my role here.  I believe many SLT members are out of touch with the front line and don't realise how many cases of mental health, housing and financial crisis we support people with daily.  Their judgement that being nonclinical makes us a casual service is naive at best and disinterested at worst.  I feel that many managers lower down on the pay scale are disempowered and not respected for their knowledge and experience.  Being on a higher pay grade does not make a person more superior or knowledgeable.  I think some decisions on recruitment of those in very senior roles are based on academic achievement, and not direct transferable skills.  Some of the decisions made by people in senior positions are clearly demonstrating low experience and their lack of knowledge on managing unsafe behaviours of service users.  This is no longer shocking to me, as it's become part of our culture.  I have always been disturbed about hierarchal behaviours of people in senior roles, and regularly witness communication that is disrespectful and patronising.  Micromanagement is allowed leading to staff members feeling low and disempowered.  A lot of the time it is unnecessary scrutiny, I don't understand how people in high positions of authority have time to nit-pick minor details.  I have asked the question to several SLT members directly how they feel about being consistently short staffed because people leave or go on sick leave because of the culture.  We have lost a lot of excellent staff members, and this saddens me.  I was subject to bullying two years ago which knocked my confidence and put me in secondary mental health care as a patient for the first time in over a decade.  This prevented me for applying for jobs elsewhere.  After mental health intervention and a boost in confidence I will be moving on when a suitable role comes up.  I love The Life Rooms frontline, that is why some of my survey answers may seem contradictive.  My direct line manager is excellent along with the team I belong to.  The challenges I have at work are a lack of consistency, only negative feedback being given to staff and the detachment and separation from SLT.  I believe in the work we are supposed to deliver, so it saddens me that I want to leave.  I have never worked in an organisation that is so top heavy without any of our staff knowing exactly what goes on ""upstairs"".  This service needs full transparency of roles and actions all across the board.",1
Administrative and Clerical,I am happy in my work environment and with my colleagues who I choose to call a second family.,1
Administrative and Clerical,"I am happy in my work place and my job, I like the people I work with.",1
Administrative and Clerical,"I am happy within my role at Merseycare however I feel there needs to be a stronger more effective process when involving absence.  I find there is little or no support from HR in these matters and seems to be no consequence for staff who have extensive sickness.  I spend a lot of my time dealing with team members absence instead of using my time for more development of staff that seem to want to be here, give back and have strong team values.",1
Administrative and Clerical,"I am really happy in my role and love the team I work in.  I enjoy having the flexibility of hybrid working, it is very valuable with juggling work and family life.",1
Administrative and Clerical,I am thinking of retire and return.  The last medical secretary was turned down to do this and has since left the Trust.  I will ask and see what the outcome is before making any decisions.  Thanks.,1
Administrative and Clerical,"I am truly disappointed in the lack of support that the organisation has provided me over the last [timeframe removed] during some really trying times.  If it weren't for my immediate team providing support, for which I am ever grateful, I don't know how I would have got through everything.  It's such a shame to be treated like this when you put your all into everything that you need to do.",1
Administrative and Clerical,"I am worried about constant change in the organisation and how long its taking to settle executive leadership and this is destabilising and unsettling for people and team.  I feel as though Chair and Non-Executive Directors are far too operational and that this creates unnecessary work and disruption to the organisation.  There are still many problems around HR services who can be very slow to respond and so often staff relationships and management becomes complicated and damaged.  I believe this service needs quite a lot of reform in order to get the balance right.  Managers need to be able to manage but many of them feel they will not be backed or supported by HR so they don't act without them.  HR then gets swamped with requests that they can't get through fast enough and so consequently the management situation gets worse.  This is often exploited by Staffside.  We need to make sure managers have trust and confidence in support services like HR and that the organisation will support them to make the right decision.  I do worry that we are in danger of throwing out the baby with the bathwater as we focus on getting the basics right.  There are significant innovations that have developed over the last decade and I am concerned that we are not valuing them sufficiently.  There's a danger that leadership knows the price of everything but the value of nothing, or at least the value of very little.  Without some of this freshness of perspective and innovation Mersey Care is really only a collection of quite average clinical services.  It takes much more to make an organisation outstanding.  I think there is quite a clinical arrogance about the organisation and that non-clinical opinions are not valued.  This is dangerous as it takes a wide range of skills and experiences to make an organisation safe and successful.  There's a danger that this will take some of the talent out of the organisation and again that may just reduce us to a collection of quite unremarkable clinical services.",1
Administrative and Clerical,"I believe all phone calls should be recorded, or if not all phone calls, then definitely the teams that receive a high level of abusive/inappropriate calls.  SU's regularly record us.  Staff would feel more protected in their job roles and able to feel empowered to escalate these calls more quickly.  I feel staff are 'expected' to deal with these calls, as its past culture, managers are too busy to respond quickly due to already high levels of staff absence, which then results in ongoing calls, causing stress, anxiety and potential sick leave/leaving the job.  Staff in lower bandings/receptionists suffer the most and need more resilience training.",1
Administrative and Clerical,"I believe the main problem we face at the moment is with high sickness absences.  This is monitored by line managers within the team accordingly but rarely any action taken once staff reach stage 3, this seems to be due to to delays/push back from HR.  I believe this is causing a lot of wasted resource, money and time and also causes a decrease of staff morale constantly having to cover sickness.",1
Administrative and Clerical,"I come under admin staff and feel that we are expected to do to much for our current job role i.e. expected to cover a wide range of duties including your own job in different venues - which at the moment is impossible, due to lack of staff.  This makes me feel indispensable.  I feel that where health and safety for staff comes is always down to costing.  Staff should feel safe in their workplace and I do not at present.",1
